movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance
5,Father of the Bride Part II (1995),Comedy
6,Heat (1995),Action|Crime|Thriller
7,Sabrina (1995),Comedy|Romance
8,Tom and Huck (1995),Adventure|Children
9,Sudden Death (1995),Action
10,GoldenEye (1995),Action|Adventure
11,The American President (1995),Comedy|Drama|Romance
12,Dracula: Dead and Loving It (1995),Comedy|Horror
13,Balto (1995),Adventure|Animation|Children
14,Nixon (1995),Drama
15,Casino (1995),Crime|Drama
16,Sense and Sensibility (1995),Drama|Romance
17,City of Lost Children (1995),Adventure|Drama|Fantasy|Sci-Fi
18,Shanghai Triad (1995),Drama
19,Dangerous Minds (1995),Drama
20,Twelve Monkeys (1995),Drama|Sci-Fi|Thriller
21,Babe (1995),Children|Drama
22,Dead Man Walking (1995),Crime|Drama
23,It Takes Two (1995),Children|Comedy
24,Clueless (1995),Comedy|Romance
25,The Bridges of Madison County (1995),Drama|Romance
26,Rob Roy (1995),Action|Drama|Romance|War
27,Die Hard: With a Vengeance (1995),Action|Adventure|Crime|Thriller
28,Mighty Morphin Power Rangers: The Movie (1995),Action|Adventure|Children
29,The Usual Suspects (1995),Crime|Mystery|Thriller
30,Braveheart (1995),Action|Drama|War
31,Se7en (1995),Crime|Drama|Mystery|Thriller
32,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
33,Batman Forever (1995),Action|Adventure|Comedy|Crime
34,The Net (1995),Action|Crime|Thriller
35,Waterworld (1995),Action|Adventure|Sci-Fi
36,Leaving Las Vegas (1995),Drama|Romance
37,Othello (1995),Drama|Romance
38,Now and Then (1995),Children|Drama
39,Powder (1995),Drama|Sci-Fi
40,Assassins (1995),Action|Crime|Thriller
41,Congo (1995),Action|Adventure|Mystery|Sci-Fi
42,Babe: Pig in the City (1998),Adventure|Children|Drama
43,Before Sunrise (1995),Drama|Romance
44,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
45,Desperado (1995),Action|Crime|Thriller
46,Mortal Kombat (1995),Action|Adventure|Fantasy
47,To Die For (1995),Comedy|Drama|Thriller
48,The Indian in the Cupboard (1995),Adventure|Children|Fantasy
49,A Goofy Movie (1995),Adventure|Animation|Children|Comedy|Musical
50,While You Were Sleeping (1995),Comedy|Drama|Romance
51,The Shawshank Redemption (1994),Drama
52,The Godfather (1972),Crime|Drama
53,The Dark Knight (2008),Action|Crime|Drama|Thriller
54,Pulp Fiction (1994),Crime|Drama
55,Schindler's List (1993),Biography|Drama|History
56,The Lord of the Rings: The Return of the King (2003),Action|Adventure|Drama|Fantasy
57,Forrest Gump (1994),Drama|Romance
58,Inception (2010),Action|Adventure|Sci-Fi|Thriller
59,The Matrix (1999),Action|Sci-Fi
60,Goodfellas (1990),Biography|Crime|Drama
61,The Silence of the Lambs (1991),Crime|Drama|Thriller
62,Saving Private Ryan (1998),Drama|War
63,The Green Mile (1999),Crime|Drama|Fantasy
64,Interstellar (2014),Adventure|Drama|Sci-Fi
65,The Departed (2006),Crime|Drama|Thriller
66,Gladiator (2000),Action|Adventure|Drama
67,Titanic (1997),Drama|Romance
68,The Lion King (1994),Animation|Adventure|Drama
69,Fight Club (1999),Drama
70,The Terminator (1984),Action|Sci-Fi
71,Jurassic Park (1993),Action|Adventure|Sci-Fi
72,The Avengers (2012),Action|Adventure|Sci-Fi
73,Avatar (2009),Action|Adventure|Fantasy|Sci-Fi
74,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
75,Raiders of the Lost Ark (1981),Action|Adventure
76,Back to the Future (1985),Adventure|Comedy|Sci-Fi
77,The Terminator 2: Judgment Day (1991),Action|Sci-Fi
78,The Godfather: Part II (1974),Crime|Drama
79,Alien (1979),Horror|Sci-Fi
80,Die Hard (1988),Action|Thriller
81,The Breakfast Club (1985),Comedy|Drama
82,E.T. the Extra-Terrestrial (1982),Adventure|Family|Sci-Fi
83,The Princess Bride (1987),Adventure|Family|Fantasy
84,Blade Runner (1982),Action|Sci-Fi|Thriller
85,The Shining (1980),Drama|Horror
86,Apocalypse Now (1979),Drama|War
87,Good Will Hunting (1997),Drama
88,A Beautiful Mind (2001),Biography|Drama
89,The Sixth Sense (1999),Drama|Mystery|Thriller
90,The Truman Show (1998),Comedy|Drama
91,The Big Lebowski (1998),Comedy|Crime
92,American Beauty (1999),Drama
93,The Pianist (2002),Biography|Drama|Music|War
94,Memento (2000),Mystery|Thriller
95,The Departed (2006),Crime|Drama|Thriller
96,The Prestige (2006),Drama|Mystery|Sci-Fi
97,No Country for Old Men (2007),Crime|Drama|Thriller
98,There Will Be Blood (2007),Drama
99,WALLÂ·E (2008),Animation|Adventure|Family|Sci-Fi
100,The Social Network (2010),Biography|Drama
101,Black Swan (2010),Drama|Thriller
102,Django Unchained (2012),Drama|Western
103,Mad Max: Fury Road (2015),Action|Adventure|Sci-Fi
104,Whiplash (2014),Drama|Music
105,La La Land (2016),Comedy|Drama|Music|Romance
106,Get Out (2017),Horror|Mystery|Thriller
107,Parasite (2019),Comedy|Drama|Thriller
108,Joker (2019),Crime|Drama|Thriller
109,The Wolf of Wall Street (2013),Biography|Comedy|Crime|Drama
110,Gone Girl (2014),Drama|Mystery|Thriller
111,The Grand Budapest Hotel (2014),Adventure|Comedy|Crime
112,Inglourious Basterds (2009),Adventure|Drama|War
113,The Dark Knight Rises (2012),Action|Thriller
114,Gravity (2013),Drama|Sci-Fi|Thriller
115,Her (2013),Drama|Romance|Sci-Fi
116,Ex Machina (2014),Drama|Sci-Fi|Thriller
117,Arrival (2016),Drama|Sci-Fi
118,Dunkirk (2017),Action|Drama|History|War
119,A Star Is Born (2018),Drama|Music|Romance
120,Once Upon a Time in Hollywood (2019),Comedy|Drama
121,The Irishman (2019),Biography|Crime|Drama
122,1917 (2019),Drama|War
123,Dune (2021),Action|Adventure|Drama|Sci-Fi
124,The Power of the Dog (2021),Drama|Romance|Western
125,CODA (2021),Drama|Music
126,Everything Everywhere All at Once (2022),Action|Adventure|Comedy
127,Top Gun: Maverick (2022),Action|Drama
128,The Batman (2022),Action|Crime|Drama
129,Avatar: The Way of Water (2022),Action|Adventure|Fantasy|Sci-Fi
130,Oppenheimer (2023),Biography|Drama|History
131,Barbie (2023),Adventure|Comedy|Fantasy
132,Mission: Impossible - Dead Reckoning Part One (2023),Action|Adventure|Thriller
133,John Wick: Chapter 4 (2023),Action|Crime|Thriller
134,Guardians of the Galaxy Vol. 3 (2023),Action|Adventure|Comedy
135,The Super Mario Bros. Movie (2023),Animation|Adventure|Comedy
136,Creed III (2023),Drama|Sport
137,Ant-Man and the Wasp: Quantumania (2023),Action|Adventure|Comedy
138,The Little Mermaid (2023),Adventure|Family|Fantasy
139,Fast X (2023),Action|Crime|Thriller
140,Spider-Man: Across the Spider-Verse (2023),Animation|Action|Adventure
141,Indiana Jones and the Dial of Destiny (2023),Action|Adventure
142,Transformers: Rise of the Beasts (2023),Action|Adventure|Sci-Fi
143,The Flash (2023),Action|Adventure|Fantasy
144,Elemental (2023),Animation|Adventure|Comedy
145,No Hard Feelings (2023),Comedy|Romance
146,Ruby Gillman, Teenage Kraken (2023),Animation|Adventure|Comedy
147,Insidious: The Red Door (2023),Horror|Mystery|Thriller
148,Joy Ride (2023),Comedy
149,The Meg 2: The Trench (2023),Action|Horror|Sci-Fi
150,Blue Beetle (2023),Action|Adventure|Sci-Fi
151,Gran Turismo (2023),Action|Drama|Sport
152,Teenage Mutant Ninja Turtles: Mutant Mayhem (2023),Animation|Action|Adventure
153,Talk to Me (2023),Horror|Thriller
154,The Equalizer 3 (2023),Action|Crime|Thriller
155,A Haunting in Venice (2023),Crime|Drama|Horror
156,The Nun II (2023),Horror|Mystery|Thriller
157,Expend4bles (2023),Action|Adventure|Thriller
158,Saw X (2023),Horror|Mystery|Thriller
159,PAW Patrol: The Mighty Movie (2023),Animation|Adventure|Comedy
160,The Creator (2023),Action|Adventure|Drama
161,Taylor Swift: The Eras Tour (2023),Documentary|Music
162,Killers of the Flower Moon (2023),Crime|Drama|History
163,Five Nights at Freddy's (2023),Horror|Mystery|Thriller
164,The Marvels (2023),Action|Adventure|Fantasy
165,Trolls Band Together (2023),Animation|Adventure|Comedy
166,Wish (2023),Animation|Adventure|Comedy
167,Napoleon (2023),Action|Biography|Drama
168,Wonka (2023),Adventure|Comedy|Family
169,Aquaman and the Lost Kingdom (2023),Action|Adventure|Fantasy
170,Migration (2023),Animation|Adventure|Comedy
171,Anyone But You (2023),Comedy|Romance
172,The Color Purple (2023),Drama|Musical
173,Poor Things (2023),Comedy|Drama|Romance|Sci-Fi
174,The Boys in the Boat (2023),Biography|Drama|Sport
175,Ferrari (2023),Biography|Drama|Sport
176,The Iron Claw (2023),Biography|Drama|Sport
177,All of Us Strangers (2023),Drama|Romance
178,American Fiction (2023),Comedy|Drama
179,The Zone of Interest (2023),Drama|History|War
180,Mean Girls (2024),Comedy|Musical
181,Night Swim (2024),Horror|Thriller
182,The Beekeeper (2024),Action|Thriller
183,Mean Girls (2024),Comedy|Musical
184,Anyone But You (2024),Comedy|Romance
185,Wonka (2024),Adventure|Comedy|Family
186,Migration (2024),Animation|Adventure|Comedy
187,Poor Things (2024),Comedy|Drama|Romance|Sci-Fi
188,The Color Purple (2024),Drama|Musical
189,The Boys in the Boat (2024),Biography|Drama|Sport
190,Ferrari (2024),Biography|Drama|Sport
191,The Iron Claw (2024),Biography|Drama|Sport
192,All of Us Strangers (2024),Drama|Romance
193,American Fiction (2024),Comedy|Drama
194,The Zone of Interest (2024),Drama|History|War
195,Night Swim (2024),Horror|Thriller
196,The Beekeeper (2024),Action|Thriller
197,Mean Girls (2024),Comedy|Musical
198,Anyone But You (2024),Comedy|Romance
199,Wonka (2024),Adventure|Comedy|Family
200,Migration (2024),Animation|Adventure|Comedy